"id","address","max_val_sent","min_val_sent","avg_val_sent","max_value_received","min_value_received","avg_value_received","txn_fee_in","txn_fee_out","total_txn_fee","gasused_in","gasused_out","failed_txn_in","failed_txn_out","total_failed_txn","success_txn_in","success_txn_out","total_success_txn","std_value_in","mean_in","std_gasprice_in","ap_gasused_in","ap_gasused_out","avg_value_out","avg_value_in","gasprice_in","gasprice_out","gas_used_out","gas_used_in","avg_gasprice_in","avg_gasprice_out","txnsent","txnreceived","total_txn","valueout","valuein","value_difference","per_txnsent","per_txnreceived","distinct_address","unique_txnreceived","unique_txnsent","distinct_recived_address","distinct_sent_address","difftimelast","avg_time","lstvalue","first_txn_value","last_txn_bit","first_txn_bit","mean_in_time","avg_time_in","txn_fee_contract_create","per_gasused_contract_create","gasprice_contract_create","gini_amt_out","gini_amt_in","label"
5697,"0x8d790f3989b6d24f38beb978c1c813d608bb0c81","0","0","0","0.1","0.0","0.0024390243902439024","5827702633400000000","0","5827702633400000000","23270273","0","6","0","6","35","0","35","0.015425747","0.0024390244","14459403877.743462","464949995.1219512","0","0","0.0024390243902439024","1104200000000","0","0","190629498","26931707317.07317","0","0","41","41","0","0.1","0","0.0","1.0","0","2","0","8","0","52324.433333333334","1276.2056910569106","0.0","0.0","0","0","52324.433333333334","1276.2056910569106","45755060400000000","0.9477991331524052","25200000000","0.975609756097561","0","0"
2475,"0xa0907d15f0c05314779f56b82786ed4a1cf067cb","0","0","0","67.71","0.0","6.640716692438393","325671934000000000","0","325671934000000000","4795603","0","2","0","2","22","0","22","16.479643","6.6407166","26814919924.466595","26781020.833333332","0","0","6.640716692438393","511000000000","0","0","6427445","21291666666.666668","0","0","24","24","0","159.37720061852144","0","0.0","1.0","0","5","0","8","0","179925.45","7496.89375","21.0","0.0","0","0","179925.45","7496.89375","7752892000000000","0.9999963884575102","28000000000","0.863302574374061","0","1"
5391,"0xb27fb8de974414142e7f3e2b60b6920462f2f78e","0","0","0","1.0","0.0","0.06769354838709675","260430470249858640","0","260430470249858640","4495580","0","7","0","7","24","0","24","0.18462537","0.06769355","6077283842.425662","30619603.225806456","0","0","0.06769354838709675","848156578220","0","0","9492077","27359889620.0","0","0","31","31","0","2.098499999999999","0","0.0","1.0","0","4","0","9","0","191788.33333333334","6186.720430107527","0.0","0.0","0","0","191788.33333333334","6186.720430107527","74834610000000000","0.9999995991161312","30000000000","0.8501771553920516","0","0"
6341,"0xdd98b423dc61a756e1070de151b1485425505954","0","0","0","315.0","0.0","0.5573397230621511","52726223275548244259","0","52726223275548244259","1271402227","0","145","0","145","9855","0","9855","4.5447726","0.55733967","7144489401.243865","24616906.830000002","0","0","0.5573397230621511","215818381931381","0","0","2461690683","21581838193.1381","0","0","10000","10000","0","5573.397230621511","0","0.0","1.0","0","91","0","304","0","131505.01666666666","13.150501666666667","0.223","0.0","0","0","131505.01666666666","13.150501666666667","133543642000000000","0.8102872757143333","41000000000","0.8301608905058866","0","0"
1844,"0x443a881775037152334d05baf073d259b79b770c","0","0","0","207.0","0.0","8.06769230769231","1541270409203776958","0","1541270409203776958","7100044","0","1","0","1","64","0","64","32.538563","8.067693","98578823673.60599","21076338.461538464","0","0","8.06769230769231","7478900000018","0","0","13699620","115060000000.27692","0","0","65","65","0","524.4000000000001","0","0.0","1.0","0","0","0","6","0","724724.3666666667","11149.605641025642","100.0","0.0","0","0","724724.3666666667","11149.605641025642","0","0","0","0.9450037225324968","0","0"
3018,"0x0a630de26e5b41eaef08741e74da4018a6c2e14c","0","0","0","0.05","0.0","0.0015645422265087529","372198170236687735","0","372198170236687735","17522946","0","65","0","65","237","0","237","0.0046968595","0.0015645422","10987193929.102842","9817113.907284768","0","0","0.0015645422265087529","4040975086022","0","0","29647684","13380712205.370861","0","0","302","302","0","0.47249175240564334","0","0.0","1.0","0","206","0","225","0","969518.2833333333","3210.325441501104","0.0001","0.0","0","0","969518.2833333333","3210.325441501104","13052150000000000","1.0","25000000000","0.88213407829053","0","0"
6399,"0x5e569e1ecd56fe30dd97ee233ec1675b60fb6680","0","0","0","0.11373442","0.0","0.00002008732250088308","220964223338018400000","0","220964223338018400000","700681325","0","858","0","858","4804","0","4804","0.0015113624","0.000020087322","16484537115.977173","72883575.80360296","0","0","0.00002008732250088308","270435777055202","0","0","4126668062","47763295135.14694","0","0","5662","5662","0","0.11373442","0","0.0","1.0","0","1340","0","1492","0","225318.08333333334","39.79478688331567","0.0","0.0","0","0","225318.08333333334","39.79478688331567","14831600000000000","0.5001281376873171","20000000000","0.9998233839632638","0","0"
4350,"0x0b4940b7b951ae6319d9f540cda0b85753ef7cd8","0","0","0","46.9969","0.0","1.7553369019050233","1152429139725855786","0","1152429139725855786","18748726","0","19","0","19","254","0","254","5.2333403","1.7553369","10701624514.214182","18642139.926739927","0","0","1.7553369019050233","6316462711771","0","0","50893042","23137226050.443222","0","0","273","273","0","479.2069742200714","0","0.0","1.0","0","183","0","222","0","150226.46666666667","550.2800976800977","0.460014962","0.0","0","0","150226.46666666667","550.2800976800977","14438420000000000","0.18048025","20000000000","0.7814137014531819","0","0"
2617,"0x155e7e9ab193aa37c87d22f66002e3db64c9e0ce","0","0","0","0","0.0","0.0","2505218","0","2505218","2087678","0","0","0","0","16","0","16","0.0","0.0","0.0","15657612.5","0","0","0.0","16","0","0","2505218","1.0","0","0","16","16","0","0.0","0","0.0","1.0","0","0","0","1","0","1106.7833333333333","69.17395833333333","0.0","0.0","0","0","1106.7833333333333","69.17395833333333","1400940","0.8333333333333334","1","NaN","0","1"
4797,"0xd7f82e36ef04c9543ce18e6d1072354a1b9d629c","0","0","0","5.0","0.0","0.0026585326953748","1616007144237157008","0","1616007144237157008","88867756","0","18","0","18","1863","0","1863","0.1152551","0.0026585327","17225466342.135654","9758288.357256778","0","0","0.0026585326953748","18022346260289","0","0","183553404","9581257979.951622","0","0","1881","1881","0","5.000699999999999","0","0.0","1.0","0","245","0","289","0","1428498.6166666667","759.4357345383661","0.0","0.0","0","0","1428498.6166666667","759.4357345383661","1162553000000000","0.9999991398249027","1000000000","0.9994681564943508","0","0"
3025,"0xcfb98637bcae43C13323EAa1731cED2B716962fD","4125.4","0.0","6.373159744524351","4125.4","0.0","6.372522428549898","611322550379075108696","611260621851075108696","1222583172230150217392","647548469","645974726","849","849","1698","9151","9150","18301","77.89072","6.3725224","7583961180752.533","21273989.61","21259378.10781078","6.373159744524351","6.372522428549898","1999830238699735","1999793238699735","2125725217","2127398961","199983023869.9735","199999323802.35373","9999","10000","19999","63725.22428549898","63725.22428549898","0","0.4999749987499375","0.5000250012500626","0","2876","0","4753","1","95292.33333333333","9.529233333333332","0.0","0.0","0","0","95292.33333333333","9.529233333333332","58228491000000000","0.9402531091971054","37000000000","0.9424908382822461","0.9424849676966378","0"
3661,"0x138A8752093F4f9a79AaeDF48d4B9248fab93c9C","0","0.0","0.0","0","0.0","0.0","6083736640777400830","5988256992777400830","12071993633554801660","113057649","110987657","331","331","662","2162","2161","4323","0.0","0.0","18671052512.81199","12683193.301243482","12601204.534510434","0.0","0.0","50081681705659","50037681705659","314022017","316192009","20088921662.919777","20079326527.150482","2492","2493","4985","0.0","0.0","0","0.49989969909729187","0.5001003009027081","0","681","0","1141","1","2015867.15","808.6109707180104","0.0","0.0","0","0","2015867.15","808.6109707180104","91079648000000000","0.9539168807995605","44000000000","NaN","NaN","0"
